iRating;iId;sType;sMovie;iYear;sCountry;sGenre;sDirector;sActors;sAward
75,20%;2406;m;Bůh nekouří;2022;Česko;Krátkometrážní;Wade Wright;Šimon Bialas, Jakub Kroupa;
74,60%;2433;st;Time to Die;2022;Česko;Krátkometrážní / Komedie;Adam Kůs;Jiří Dvořák, Vladimír Polívka;
74,00%;2455;st;Curiosa;2022;Velká Británie;Krátkometrážní / Animovaný;Tessa Moult-Milewska;Lizzie Waterworth;
73,90%;2458;m;Zuza v zahradách;2022;Česko;Krátkometrážní / Animovaný;Lucie Sunková;;
73,20%;2481;st;Zahrada ráje;2022;Česko;Krátkometrážní;Vojtěch Novotný;Ondřej Šimánek, Pavlína Štorková;
72,80%;2493;m;Promlčeno;2022;Česko;Krimi / Thriller;Robert Sedláček;Karel Roden, Barbora Bočková;
72,40%;2504;st;Prázdná přepážka;2022;Česko;Krátkometrážní / Komedie;Jan Jansa;Jana Paulová, Jaromír Dulava;
72,30%;2507;st;Ostrov svobody;2022;Česko;Krátkometrážní / Drama;Petr Januschka;Jiří Mádl, Judit Pecháček;
71,20%;2535;m;Piargy;2022;Slovensko / Česko;Drama / Historický;Ivo Trajkov;Judit Pecháček, Lucia Siposová;
70,00%;2559;m;Léto, kdy jsem se naučila létat;2022;Srbsko / Chorvatsko;Rodinný;Radivoje Andrič;Klara Hrvanovic, Olga Odanović;
;2595;m;Trojúhelník smutku;2022;Švédsko;;Ruben Östlund;;Cannes
;2596;m;Il Boemo;2022;Česko;;Petr Václav;;Český lev
;2597;m;Zkouška umění;2022;Česko;Dokument;Adéla Komrzý, Tomáš Bojar;;Český lev - doku
90,50%;122;s;Arcane;2021;USA;Animovaný / Akční;Arnaud Delord, Pascal Charrue;Hailee Steinfeld, Kevin Alejandro;
89,90%;154;m;Oasis Knebworth 1996;2021;Velká Británie;Dokumentární / Hudební;Jake Scott;Liam Gallagher, Noel Gallagher;
