idFdb;urlFdb;iRating;sTitle;iYear;sCountry;sGenre;urlPoster;iPage
163268;163268-andilci-za-skolou;51;Andílci za školou;2022;Česká republika;Komedie / Hudební / Muzikál / Rodinný;3rujzggxxbe0xz2m1rte.jpeg;5903
147520;147520-alenka-v-zemi-zazraku;51;Alenka v zemi zázraků;2018;Česká republika;Rodinný / Poetický;2hlzwkgegy0nysl6ix0u.jpeg;5903
64790;64790-akce;51;Akce;1977;USA;Komedie / Krimi;xslz0c86shh2j4bvi43y.jpeg;5903
49711;49711-about-love;51;About Love;2005;Čína / Japonsko / Tchaj-wan;Romantický;9c66wtrou7rzvzeph1b7.jpeg;5903
57784;57784-7-10-split;51;7-10 Split;2007;USA;Komedie / Drama / Sportovní;4shtf8oasmr63opepzqp.jpeg;5903
47;47-2x2-v-posteli-s-nebesy;51;2x2 v posteli s nebesy;1964;Dánsko / NSR;;General_375px.jpeg;5903
175;175-adios-django;60;Adios Django;1966;Itálie / Španělsko;Akční / Drama / Western;wli3p2ye4jpyiga6jobm.jpeg;5903
15961;15961-srdce-a-zbroj;57;Srdce a zbroj;1983;Francie / Itálie / USA;Akční / Fantasy / Historický / Evropská Tvorba;xvfhbolo7c29rssctpsn.jpeg;5904
9974;9974-mistr-loutkar-2;57;Mistr Loutkář 2;1990;USA;Fantasy / Horor / Sci-Fi / Thriller;n533mcznqp94d9iyqafm.jpeg;5904
53481;53481-loupez-za-bileho-dne;57;Loupež za bílého dne;2008;Velká Británie;Akční / Komedie / Drama / Gangsterka / Krimi / Thriller;9p2enlvcdwy7gqch4lmh.jpeg;5904
76430;76430-spy-kids-4d-stroj-casu;60;Spy Kids 4D: Stroj času;2011;USA;Akční / Dobrodružný / Komedie / Drama / Fantasy / Rodinný / Sci-Fi;7bkx1x0ql64f73wz2wxw.jpeg;5904
9369;9369-maly-velky-hokejista;59;Malý velký hokejista;1982;Československo;Dobrodružný / Rodinný / Sportovní / Evropská Tvorba;u85xo54jjmfl85jyngjq.jpeg;5904
16421;16421-stuj-nebo-se-netrefim;61;Stůj, nebo se netrefím;1998;Česká republika / Slovenská republika;Komedie;n8csleedpjemp6d99hnj.jpeg;5904
7776;7776-konecne-si-rozumime;58;Konečně si rozumíme;1976;Československo;Komedie;vd1xjgr7z39tew67v1d3.jpeg;5904
102659;102659-komu-strasi-ve-vezi;56;Komu straší ve věži;1988;Československo;Hudební / Pohádka;rk7g0rxfwkag2py2233m.jpeg;5904
126;126-a-to-prave-v-pondeli-rano;56;A to právě v pondělí ráno;1959;NSR;Komedie;rth9zu22fimzd8k7b4ge.jpeg;5904
117300;117300-zvlastni-jednotka-echelon-8;27;Zvláštní jednotka Echelon 8;2009;USA;Akční / Drama / Krimi / Romantický / Thriller;j84xi22xxiniznnrbglm.jpeg;5904
32344;32344-yellowknife;27;Yellowknife;2002;Kanada;;91syiwi9tgpu58jk58wt.jpeg;5904
125134;125134-vrazdici-jazyk;27;Vraždící jazyk;1996;Španělsko / Velká Británie;Komedie / Horor / Sci-Fi;juczdqzv721w3vbomi94.jpeg;5904
175378;175378-vanocni-rande-meho-taty;27;Vánoční rande mého táty;2020;Velká Británie;Akční / Komedie / Animovaný / Drama / Rodinný / Romantický;bgcc0w05pcizjfkgi35l.jpeg;5905
163364;163364-v-sadre;27;V sádře;2018;Nizozemsko;Komedie / Drama / Rodinný;fk3o4pemnaz635fqy6mp.jpeg;5905
106185;106185-ufo-tajemni-navstevnici;27;UFO - tajemní návštěvníci;1983;USA;Horor / Sci-Fi / Thriller;pwr4maowz9ajrxv2l7wo.jpeg;5905
176963;176963-tides;27;Tides;2021;Spolková republika Německo / Švýcarsko;Sci-Fi;5fr2vquzuqmy0auwedlg.jpeg;5905
86904;86904-the-possession-of-david-oreilly;27;The Possession of David O'Reilly;2010;Velká Británie;Horor / Thriller;1pdvj0k1dyrojykrw9en.jpeg;5905
194505;194505-svetylka;27;Světýlka;2024;Česká republika / Slovenská republika;Drama;5hovlg37rn2laiwdrimv.jpeg;5905
142278;142278-suspension;27;Suspension;2015;Kanada;Horor / Thriller;0czek9sovwbq979jelzk.jpeg;5905
88473;88473-street-racer-cesta-za-svobodou;27;Street Racer: Cesta za svobodou;2008;USA;Akční;atl8k4kvkgzn5i69my6h.jpeg;5905
165606;165606-smrtici-odhaleni;27;Smrtící odhalení;2017;USA;Drama / Krimi / Thriller;n94sxzr12abqponhzoux.jpeg;5905
159957;159957-selfie-from-hell;27;Selfie from Hell;2018;Kanada;Horor / Thriller / Mysteriózní;920o7lxe080les7nljvs.jpeg;5905
161923;161923-s-tercem-na-zadech;27;S terčem na zádech;2017;USA;Akční / Drama / Thriller;9svjz789575cacrkd2x4.jpeg;5905
104349;104349-puppet-master-x-axis-rising;27;Puppet Master X: Axis Rising;2012;USA;Akční / Komedie / Fantasy / Horor / Sci-Fi / Vojenský;tvg6q056y7j1r5xm0wsu.jpeg;5905
161315;161315-proste-obycejne-vanoce;27;Prostě obyčejné Vánoce;2018;Česká republika;Komedie / Romantický;yd3j6kiysm4yhj1rpdbn.jpeg;5906
82839;82839-prom-night-iv-deliver-us-from-evil;27;Prom Night IV: Deliver Us from Evil;1992;Kanada;Horor / Thriller;uwexnnc1zx5ep2kvut38.jpeg;5906
25063;25063-polibek;27;Polibek;1896;USA;Drama / Horor / Romantický;General_375px.jpeg;5906
179842;179842-ostrov-delfinu;27;Ostrov delfínů;2021;Bahamy;Drama / Rodinný;48j1y5i61z1eg7khw8j3.jpeg;5906
144728;144728-netvori-z-beringova-more;27;Netvoři z Beringova moře;2013;USA;Akční / Komedie / Drama / Horor / Sci-Fi / Thriller;1tw7wjuzfd32vs4toxml.jpeg;5906
158007;158007-mesicni-mec-a-nefritovy-lev;27;Měsíční meč a nefritový lev;1977;Tchaj-wan;Akční / Drama;2q9nilc7dlkjnug4npuv.jpeg;5906
180192;180192-lovecky-uplnek;27;Lovecký úplněk;2020;USA;Horor / Krimi / Thriller / Evropská Tvorba;kg5nfw5t8r4coffm4f3g.jpeg;5906
172031;172031-letovy-rezim;27;Letový režim;2020;Brazílie / Mexiko;Komedie / Drama / Rodinný / Romantický;b7f5x8vyoed7f2305tk1.jpeg;5906
168700;168700-kvetiny-od-vraha;27;Květiny od vraha;2017;USA;Drama / Thriller;c8jl1xpjzd4aew1wxg6c.jpeg;5906
135954;135954-he-who-dares;27;He Who Dares;2014;Velká Británie;Akční / Krimi / Thriller;pr5elt7u24dxelf8snc0.jpeg;5906
150129;150129-eva-blond-sesty-smysl;27;Eva Blond: Šestý smysl;2006;Spolková republika Německo;Krimi;General_375px.jpeg;5906
167535;167535-dve-hodiny-od-parize;27;Dvě hodiny od Paříže;2018;Francie;Komedie / Evropská Tvorba;haatpqu4fzw2d6um9b3v.jpeg;5906
19963;19963-doporuceni-ze-zeleza;27;Doporučení ze železa;1959;Itálie;Komedie;yj6z68pl81x1toa7zj7r.jpeg;5907
33441;33441-ceskoslovensko-tradicny-obchodny-partner-zssr;27;Československo - tradičný obchodný partner ZSSR;1981;Československo;Dokument / Propagační;General_375px.jpeg;5907
187040;187040-blood-fest;27;Blood Fest;2018;USA;Komedie / Horor;cxg829t3xyr746u73iu8.jpeg;5907
57335;57335-blizky-vychod;27;Blízký východ;2006;Španělsko;Komedie / Romantický / Evropská Tvorba;s53fr1ebtx0lkq00y3w9.jpeg;5907
26930;26930-autorska-krec;27;Autorská křeč;1991;USA;Thriller;4xdxd63588bzqt69t2q6.jpeg;5907
30303;30303-autoportret-jana-schmida-ja-a-ypsilonka;27;Autoportrét Jana Schmida: Já a Ypsilonka;1994;Česká republika;Dokument;General_375px.jpeg;5907
32504;32504-blueberry;59;Blueberry;2003;Francie / Mexiko / USA;Dobrodružný / Drama / Fantasy / Western / Evropská Tvorba;b2lv1mirepk665i5dkod.jpeg;5907
18805;18805-vlastne-se-nic-nestalo;57;Vlastně se nic nestalo;1988;Československo;Drama / Evropská Tvorba;1nm5h5h0maib4fvrjam8.jpeg;5907
46573;46573-pravdepodobnost-nula;57;Pravděpodobnost nula;1969;Itálie;Válečný;46kw5dyzk22ohn19kl4h.jpeg;5907
33488;33488-hra-o-cas;60;Hra o čas;2002;USA / Spolková republika Německo;Akční / Drama / Krimi / Thriller / Evropská Tvorba;60xeg112twvf60q3k3c4.jpeg;5907
12956;12956-pod-nohama-nebe;58;Pod nohama nebe;1983;Československo;Drama;3zhm7nojup3v7qpfaqlo.jpeg;5907
59979;59979-zij-rychle;52;Žij rychle!;2006;USA;Drama / Horor / Krimi / Thriller;f7s1eb9l4t7baftryiqo.jpeg;5907
69613;69613-zrozeni-k-boji;52;Zrozeni k boji;2004;Thajsko;Akční / Drama / Krimi / Thriller;s3uvmyn6f2hzaaycxh7w.jpeg;5908
200;200-zahadna-pani-x;52;Záhadná paní X;1951;Francie;Drama;w74er4pvkp3uwiae2nnh.jpeg;5908
32188;32188-z-dalekeho-kraje-jan-pavel-ii;52;Z dalekého kraje: Jan Pavel II.;1981;Itálie / Polsko / Velká Británie;Drama / Historický / Životopisný / Evropská Tvorba;7zb8z8tojcmaku8qsc53.jpeg;5908
63345;63345-vladce-kouzel;52;Vládce kouzel;2009;USA;Drama / Krimi / Thriller / Dokument / Sportovní;fm1qrrsrhdyd58ssf2xs.jpeg;5908
21188;21188-stek;52;Štek;1988;Československo;Černá Komedie;mlrtqstayytjynwsmh3b.jpeg;5908
86947;86947-sindibad-a-minotaur;52;Sindibád a Minotaur;2011;Austrálie;Akční / Dobrodružný / Fantasy / Sci-Fi;2evei910o9c0l6pm5unl.jpeg;5908
68506;68506-prizrak;52;Přízrak;2008;Rusko;Krimi / Thriller;33epspsrpdgx1e5gq2gl.jpeg;5908
161878;161878-prospektor;52;Prospektor;2018;Kanada / USA;Drama / Sci-Fi / Thriller;6jkmalxokq9ws8bezv2b.jpeg;5908
